
OptiFine_1.4.6_HD_C3
Sat Apr 20 15:27:36 EDT 2013
OS: Windows 7 (amd64) version 6.1
Java: 1.7.0_21, Oracle Corporation
VM: Java HotSpot(TM) 64-Bit Server VM (mixed mode), Oracle Corporation
LWJGL: 2.4.2
OpenGL: GeForce GTX 580/PCIe/SSE2 version 4.3.0, NVIDIA Corporation
OpenGL Version: 4.0
(Reflector) Class not present: LightCache
(Reflector) Class not present: BlockCoord
TextureFX registered: ic2.core.TextureLiquidFX@4d19c0e7, texId: 11, index: 202
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 28, texId: 513, index: 28
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 27, texId: 513, index: 27
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 30, texId: 513, index: 30
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 29, texId: 513, index: 29
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 24, texId: 513, index: 24
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 23, texId: 513, index: 23
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 26, texId: 513, index: 26
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 25, texId: 513, index: 25
TextureFX registered: dan200.computer.client.TextureComputerFX@784199e1, texId: 33, index: 25
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 97, texId: 513, index: 97
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 98, texId: 513, index: 98
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 95, texId: 513, index: 95
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 96, texId: 513, index: 96
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 101, texId: 513, index: 101
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 102, texId: 513, index: 102
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 99, texId: 513, index: 99
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 100, texId: 513, index: 100
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 105, texId: 513, index: 105
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 106, texId: 513, index: 106
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 103, texId: 513, index: 103
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 104, texId: 513, index: 104
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 109, texId: 513, index: 109
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 110, texId: 513, index: 110
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 107, texId: 513, index: 107
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 108, texId: 513, index: 108
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 114, texId: 513, index: 114
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 113, texId: 513, index: 113
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 112, texId: 513, index: 112
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 111, texId: 513, index: 111
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 63, texId: 513, index: 63
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 64, texId: 513, index: 64
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 65, texId: 513, index: 65
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 66, texId: 513, index: 66
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 67, texId: 513, index: 67
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 68, texId: 513, index: 68
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 69, texId: 513, index: 69
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 70, texId: 513, index: 70
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 71, texId: 513, index: 71
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 72, texId: 513, index: 72
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 73, texId: 513, index: 73
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 74, texId: 513, index: 74
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 75, texId: 513, index: 75
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 76, texId: 513, index: 76
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 77, texId: 513, index: 77
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 78, texId: 513, index: 78
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 80, texId: 513, index: 80
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 79, texId: 513, index: 79
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 82, texId: 513, index: 82
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 81, texId: 513, index: 81
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 84, texId: 513, index: 84
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 83, texId: 513, index: 83
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 86, texId: 513, index: 86
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 85, texId: 513, index: 85
TextureFX registered: com.xcompwiz.mystcraft.client.texturefx.TextureLiquidFX@5363530b, texId: 586, index: 15
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 88, texId: 513, index: 88
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 87, texId: 513, index: 87
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 90, texId: 513, index: 90
TextureFX registered: com.xcompwiz.mystcraft.client.texturefx.TexturePortalFX@772d95c4, texId: 587, index: 15
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 89, texId: 513, index: 89
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 92, texId: 513, index: 92
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 91, texId: 513, index: 91
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 94, texId: 513, index: 94
TextureFX registered: LogisticsPipesTextureStatic /logisticspipes/empty.png @ 93, texId: 513, index: 93
TextureFX registered: railcraft.client.textureFX.TextureCreosoteOilFX@352330fe, texId: 743, index: 0
TextureFX registered: railcraft.client.textureFX.TextureSteamFX@19658ef3, texId: 743, index: 16
TextureFX registered: com.eloraam.redpower.core.TextureAnimFX@5a8c008b, texId: 590, index: 239
TextureFX registered: com.eloraam.redpower.core.TextureAnimFX@1d77d41e, texId: 590, index: 255
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 0, texId: 466, index: 0
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 1, texId: 466, index: 1
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 2, texId: 466, index: 2
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 3, texId: 466, index: 3
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 4, texId: 466, index: 4
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 5, texId: 466, index: 5
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 6, texId: 466, index: 6
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 7, texId: 466, index: 7
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 8, texId: 466, index: 8
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 9, texId: 466, index: 9
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 10, texId: 466, index: 10
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 11, texId: 466, index: 11
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 12, texId: 466, index: 12
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 13, texId: 466, index: 13
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 14, texId: 466, index: 14
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 15, texId: 466, index: 15
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 16, texId: 466, index: 16
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 17, texId: 466, index: 17
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 18, texId: 466, index: 18
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 19, texId: 466, index: 19
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 20, texId: 466, index: 20
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 21, texId: 466, index: 21
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 22, texId: 466, index: 22
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 23, texId: 466, index: 23
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 24, texId: 466, index: 24
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 25, texId: 466, index: 25
TextureFX registered: ModTextureStatic /spriteSheets/parts.png @ 26, texId: 466, index: 26
TextureFX registered: ModTextureStatic /spriteSheets/bullets.png @ 0, texId: 464, index: 0
TextureFX registered: ModTextureStatic /spriteSheets/bullets.png @ 1, texId: 464, index: 1
TextureFX registered: ModTextureStatic /spriteSheets/bullets.png @ 2, texId: 464, index: 2
TextureFX registered: ModTextureStatic /spriteSheets/bullets.png @ 3, texId: 464, index: 3
TextureFX registered: ModTextureStatic /spriteSheets/bullets.png @ 4, texId: 464, index: 4
TextureFX registered: ModTextureStatic /spriteSheets/planes.png @ 5, texId: 467, index: 5
TextureFX registered: ModTextureStatic /spriteSheets/planes.png @ 6, texId: 467, index: 6
TextureFX registered: ModTextureStatic /spriteSheets/guns.png @ 0, texId: 465, index: 0
